year,primary_type,crime_family,crime_count,arrest_rate,domestic_rate,crime_share_pct,yoy_change_pct,rank_in_year
2026,THEFT,Property,5983,0.10111983954537858,0.052816312886511785,21.717666702965623,-89.12676056338029,1
2026,BATTERY,Violent,5010,0.19041916167664671,0.5580838323353293,18.185778068169444,-88.22035691613176,2
2026,CRIMINAL DAMAGE,Other,3007,0.040904556035916195,0.12903225806451613,10.915096736723656,-88.52465272477484,3
2026,ASSAULT,Violent,2426,0.1314921681780709,0.2967848309975268,8.806127264147518,-88.74663697931162,4
2026,MOTOR VEHICLE THEFT,Other,2277,0.031181379007465964,0.013614404918752744,8.265272786671023,-86.78314371952635,5
2026,OTHER OFFENSE,Other,2018,0.1798810703666997,0.36521308225966304,7.325129768775636,-87.94071949324727,6
2026,DECEPTIVE PRACTICE,Other,1601,0.029356652092442224,0.01311680199875078,5.811463211005844,-89.10736154578855,7
2026,BURGLARY,Other,1251,0.026378896882494004,0.027977617905675458,4.540999673309376,-87.11239311836819,8
2026,NARCOTICS,Drug,957,0.93521421107628,0.0010449320794148381,3.473810301644343,-87.09720911419711,9
2026,CRIMINAL TRESPASS,Other,737,0.344640434192673,0.05698778833107191,2.675233220806563,-86.15182262307404,10
2026,ROBBERY,Violent,597,0.07872696817420435,0.035175879396984924,2.1670478057279756,-89.73697782362042,11
2026,WEAPONS VIOLATION,Other,590,0.7203389830508474,0.011864406779661017,2.1416385349740463,-89.16238060249816,12
2026,CRIMINAL SEXUAL ASSAULT,Other,202,0.009900990099009901,0.16336633663366337,0.7332389560419617,-87.90419161676647,13
2026,OFFENSE INVOLVING CHILDREN,Other,190,0.04736842105263158,0.7894736842105263,0.6896802061780827,-87.61408083441981,14
2026,SEX OFFENSE,Other,150,0.02666666666666667,0.26666666666666666,0.5444843732984863,-88.51454823889739,15
2026,INTERFERENCE WITH PUBLIC OFFICER,Other,146,0.8698630136986302,0.0136986301369863,0.5299647900105267,-84.04371584699454,16
2026,PUBLIC PEACE VIOLATION,Other,139,0.4316546762589928,0.04316546762589928,0.5045555192565974,-86.83712121212122,17
2026,STALKING,Other,58,0.017241379310344827,0.5344827586206896,0.2105339576754147,-89.75265017667844,18
2026,HOMICIDE,Other,45,0.13333333333333333,0.044444444444444446,0.1633453119895459,-89.43661971830986,19
2026,INTIMIDATION,Other,37,0.0,0.21621621621621623,0.13430614541362662,-74.12587412587412,20
2026,ARSON,Other,35,0.05714285714285714,0.14285714285714285,0.12704635376964682,-90.59139784946237,21
2026,LIQUOR LAW VIOLATION,Other,24,0.9583333333333334,0.0,0.08711749972775781,-88.0,22
2026,CONCEALED CARRY LICENSE VIOLATION,Other,22,1.0,0.0,0.07985770808377798,-92.05776173285199,23
2026,PROSTITUTION,Other,16,1.0,0.0,0.058078333151838545,-91.53439153439153,24
2026,KIDNAPPING,Other,13,0.0,0.6923076923076923,0.047188645685868814,-85.39325842696628,25
