test_type,workers,data_fraction,runtime_sec,cost_index,bottleneck_hint,speedup,efficiency,throughput_proxy
strong_scaling,1,1.0,0.2695131301879883,0.2695131301879883,shuffle,1.0,1.0,3.7103943666955645
strong_scaling,2,1.0,0.20278716087341309,0.40557432174682617,shuffle,1.3290443488985375,0.6645221744492688,4.931278665241708
strong_scaling,4,1.0,0.25405263900756836,1.0162105560302734,shuffle,1.0608554638157464,0.2652138659539366,3.9361921368201553
weak_scaling,1,0.25,0.09532690048217773,0.09532690048217773,io+shuffle,,,2.622554585698922
weak_scaling,2,0.5,0.09580087661743164,0.19160175323486328,io+shuffle,,,5.219158922696345
weak_scaling,4,1.0,0.10734200477600098,0.4293680191040039,io+shuffle,,,9.316017546782165
